[   48144ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   48197ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   48348ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   48378ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   48536ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   48599ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   48720ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   48755ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   48935ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   48971ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   49064ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   49096ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   49229ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   49268ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   49422ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   49463ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   49659ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   49716ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   49963ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   49980ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   51095ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   51138ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   51230ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   51267ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   51444ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   51498ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   51601ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   51647ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   57471ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   57498ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   65684ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   65736ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   66015ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   66048ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   66209ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
